S.no, Profile, Dia_mm, Thk_mm, Td_kN, Pd_kN, Vy_kN, Vz_kN, Td_kN-m, My_kN-m, Mz-_kN-m, Mz+_kN-m, KLT, lay, laz, laLT, Fc1
50, NB150X8, 168.3, 8.0, 1281.884042397493, 1083.224794037813, 471.159808769221, 471.159808769221, 61.029345562906514, 58.86176167865107, 58.86176167865107, 58.86176167865107, 0.9950237144894165, 0.5839638834548116, 0.5839638834548116, 0.5839638834548116, -5.2006784125326e-07
51, NB150X10, 168.3, 10.0, 1582.3630997467499, 1331.7161534231773, 581.6016666263856, 581.6016666263856, 74.39495937090344, 70.96345662493319, 70.96345662493319, 70.96345662493319, 0.9959041865863995, 0.590899929132405, 0.590899929132405, 0.590899929132405, -4.213108020361216e-07
52, NB175X4.8, 193.7, 4.8, 906.3551925472975, 803.012453046905, 333.13320477793815, 333.13320477793815, 50.849517274038824, 50.12268212786571, 50.12268212786571, 50.12268212786571, 0.9942983156760417, 0.49600671417709, 0.49600671417709, 0.49600671417709, -7.355468056546467e-07
53, NB175X5.4, 193.7, 5.4, 1016.4108951891931, 899.8305314824845, 373.5844640928885, 373.5844640928885, 56.842880954545045, 55.86227338238788, 55.86227338238788, 55.86227338238788, 0.9948960311531414, 0.49754325834837226, 0.49754325834837226, 0.49754325834837226, -6.559027159410511e-07
54, NB175X5.9, 193.7, 5.9, 1107.5742020097248, 979.9092399402408, 407.0917742611296, 407.0917742611296, 61.776723235815595, 60.55975009310372, 60.55975009310372, 60.55975009310372, 0.9953010382208424, 0.49882690709828004, 0.49882690709828004, 0.49882690709828004, -6.019160300564794e-07
55, NB175X6.3, 193.7, 6.3, 1180.1449923076477, 1043.5776937779292, 433.76535669768975, 433.76535669768975, 65.68427395286064, 64.26236763778861, 64.26236763778861, 64.26236763778861, 0.9955786191898661, 0.49985589215829146, 0.49985589215829146, 0.49985589215829146, -5.649023391295938e-07
56, NB175X8, 193.7, 8.0, 1485.0022874186802, 1310.2598857523694, 545.8164472142504, 545.8164472142504, 81.90218265777376, 79.45986578760157, 79.45986578760157, 79.45986578760157, 0.9964475695056659, 0.5042491104786774, 0.5042491104786774, 0.5042491104786774, -4.4893309075335266e-07
57, NB175X10, 193.7, 10.0, 1836.2609060232342, 1615.9139342956958, 674.9224646826725, 674.9224646826725, 100.18437514563101, 96.25635113740039, 96.25635113740039, 96.25635113740039, 0.9970897676924846, 0.5094575349231047, 0.5094575349231047, 0.5094575349231047, -3.630566138395103e-07
58, NB175X12, 193.7, 12.0, 2179.5227433277405, 1912.8430332120988, 801.089244417038, 801.089244417038, 117.61772689140719, 111.93168027646274, 111.93168027646274, 111.93168027646274, 0.9975161907264524, 0.5147065370127606, 0.5147065370127606, 0.5147065370127606, -3.0587736177911424e-07
59, NB200X4.8, 219.1, 4.8, 1028.22613956001, 936.7288868369569, 377.9271878449558, 377.9271878449558, 65.44361192718993, 64.688888262279, 64.688888262279, 64.688888262279, 0.9956912373487253, 0.437248764547099, 0.437248764547099, 0.437248764547099, -6.483658030245575e-07
60, NB200X5.6, 219.1, 5.6, 1195.1189652919848, 1087.9830535431288, 439.26907935471, 439.26907935471, 75.78189602968219, 74.64220500196092, 74.64220500196092, 74.64220500196092, 0.9962766984043139, 0.4388463125947987, 0.4388463125947987, 0.4388463125947987, -5.578245229367527e-07
61, NB200X5.9, 219.1, 5.9, 1257.373907712851, 1144.3453736899933, 462.151045114339, 462.151045114339, 79.61741878594076, 78.3159441670177, 78.3159441670177, 78.3159441670177, 0.9964552385170167, 0.4394467354210271, 0.4394467354210271, 0.4394467354210271, -5.302055836989061e-07
62, NB200X6.3, 219.1, 6.3, 1340.1006102618333, 1219.1915087744405, 492.5574594731506, 492.5574594731506, 84.69650272952428, 83.16488846949404, 83.16488846949404, 83.16488846949404, 0.9966667815518233, 0.4402484264649601, 0.4402484264649601, 0.4402484264649601, -4.974750862447644e-07
63, NB200X8, 219.1, 8.0, 1688.1205324398672, 1533.4190430741141, 620.4730856592797, 620.4730856592797, 105.83958658622268, 103.15304816043697, 103.15304816043697, 103.15304816043697, 0.9973292277865929, 0.4436697386064241, 0.4436697386064241, 0.4436697386064241, -3.9491650854049075e-07
64, NB200X10, 219.1, 10.0, 2090.158712299718, 1895.0897212090242, 768.2432627389593, 768.2432627389593, 129.8044994623357, 125.41756474526045, 125.41756474526045, 125.41756474526045, 0.9978191907388521, 0.4477231649278875, 0.4477231649278875, 0.4477231649278875, -3.189550452525972e-07
65, NB200X12, 219.1, 12.0, 2484.2001108595227, 2248.1185800090407, 913.0742020845826, 913.0742020845826, 152.79991935882506, 146.37985316217356, 146.37985316217356, 146.37985316217356, 0.9981448867461362, 0.4518057455201657, 0.4518057455201657, 0.4518057455201657, -2.683627070751571e-07
66, NB225X5.9, 244.5, 5.9, 1407.1736134159773, 1307.2092282047197, 517.2103159675484, 517.2103159675484, 99.7182323758324, 98.35499538442951, 98.35499538442951, 98.35499538442951, 0.9972270036968934, 0.39269602202982834, 0.39269602202982834, 0.39269602202982834, -4.7376291049709446e-07
67, NB225X6.3, 244.5, 6.3, 1500.0562282160188, 1393.113925250409, 551.3495622486115, 551.3495622486115, 106.12207788763352, 104.50501543305681, 104.50501543305681, 104.50501543305681, 0.9973937424258494, 0.3933381529283346, 0.3933381529283346, 0.3933381529283346, -4.4442778485678343e-07
68, NB225X8, 244.5, 8.0, 1891.2387774610556, 1754.3631318810721, 695.1297241043094, 695.1297241043094, 132.84155734825327, 129.94144710724368, 129.94144710724368, 129.94144710724368, 0.9979159957233597, 0.39607752920886086, 0.39607752920886086, 0.39607752920886086, -3.525026425069665e-07
69, NB225X10, 244.5, 10.0, 2344.0565185762025, 2171.398958080212, 861.5640607952461, 861.5640607952461, 163.25533232101748, 158.44743511962287, 158.44743511962287, 158.44743511962287, 0.9983024578247754, 0.3993211419794671, 0.3993211419794671, 0.3993211419794671, -2.8440724930626034e-07
70, NB250X5.9, 273.0, 5.9, 1575.2559603663365, 1488.8611411282907, 578.9894190902444, 578.9894190902444, 124.96300750311278, 123.55757279052659, 123.55757279052659, 123.55757279052659, 0.9978249784706072, 0.3508163789249403, 0.3508163789249403, 0.3508163789249403, -4.232116452437539e-07
71, NB250X6.3, 273.0, 6.3, 1679.5339885189455, 1587.0921398321395, 617.317079142338, 617.317079142338, 133.03571927718662, 131.3517022248678, 131.3517022248678, 131.3517022248678, 0.9979566099293423, 0.3513302346397869, 0.3513302346397869, 0.3513302346397869, -3.9693550188558543e-07
72, NB250X8, 273.0, 8.0, 2119.1470445123878, 2000.7424813954872, 778.8979995249133, 778.8979995249133, 166.78746813834746, 163.68431495794636, 163.68431495794636, 163.68431495794636, 0.9983689672031885, 0.35352163222243177, 0.35352163222243177, 0.35352163222243177, -3.1459198095433047e-07
73, NB250X10, 273.0, 10.0, 2628.941852390368, 2479.4550114012004, 966.2744050710008, 966.2744050710008, 205.34927703206404, 200.11447601453665, 200.11447601453665, 200.11447601453665, 0.9986742187332285, 0.35611495897449896, 0.35611495897449896, 0.35611495897449896, -2.535874523282056e-07
74, NB250X12, 273.0, 12.0, 3130.739878968301, 2949.6001746753927, 1150.7115728830322, 1150.7115728830322, 242.68556319798577, 234.85709652502314, 234.85709652502314, 234.85709652502314, 0.9990270568484975, 0.35872416120262024, 0.35872416120262024, 0.35872416120262024, -2.129422093305174e-07
75, NB300X6.3, 323.9, 6.3, 2000.0749709546965, 1931.9105133855132, 735.1327496648171, 735.1327496648171, 188.66147180023736, 186.9340524339032, 186.9340524339032, 186.9340524339032, 0.9985902417514794, 0.2950487346786313, 0.2950487346786313, 0.2950487346786313, -3.333208386425867e-07
76, NB300X8, 323.9, 8.0, 2526.183212684768, 2438.655016708853, 928.505200188378, 928.505200188378, 237.012319235474, 233.64303528334574, 233.64303528334574, 233.64303528334574, 0.9990270053515492, 0.29659978508441476, 0.29659978508441476, 0.29659978508441476, -2.639027380591882e-07
77, NB300X10, 323.9, 10.0, 3137.7370626058423, 3026.91209081925, 1153.2834059003314, 1153.2834059003314, 292.5258921937362, 286.64872981239745, 286.64872981239745, 286.64872981239745, 0.9992112519996679, 0.29843385735185923, 0.29843385735185923, 0.29843385735185923, -2.1246734616858248e-07
78, NB300X12, 323.9, 12.0, 3741.2941312268727, 3606.6226157017813, 1375.1223738782298, 1375.1223738782298, 346.5721629403092, 337.6022194419862, 337.6022194419862, 337.6022194419862, 0.999333941469991, 0.30027771971395933, 0.30027771971395933, 0.30027771971395933, -1.7819146083765633e-07
79, NB350X8, 355.6, 8.0, 2779.6811798962485, 2710.6774206471837, 1021.6790363579614, 1021.6790363579614, 286.96650190518505, 283.4940866542529, 283.4940866542529, 283.4940866542529, 0.9992044324380309, 0.2695658783536067, 0.2695658783536067, 0.2695658783536067, -2.3983565866771457e-07
80, NB350X10, 355.6, 10.0, 3454.609521620194, 3366.956924448829, 1269.7507011123116, 1269.7507011123116, 354.592176049566, 348.39297913193263, 348.39297913193263, 348.39297913193263, 0.9993558950457282, 0.2710842044821613, 0.2710842044821613, 0.2710842044821613, -1.9297887720578147e-07
81, NB350X12, 355.6, 12.0, 4121.541082044094, 4014.6940689155335, 1514.8831281326052, 1514.8831281326052, 420.5999701897341, 411.01231614851963, 411.01231614851963, 411.01231614851963, 0.9994567754904995, 0.27261002704764264, 0.27261002704764264, 0.27261002704764264, -1.6175179463115553e-07
